doy,year,month,day,date,Tmin,Tmax,Tmean,dtRange,T06,T14,Tm1406,dt1406,RHmin,RHmax,VPmax,RHsat.hrs,TminSr,TmaxSr,RHsatSr,VPmaxSr,sommax,sommin,Kps.mean_hPa,Kppt_mm,Kwspd.mean_m.s,Kwspd.max_m.s
235,2012,NA,NA,2012-08-22,5.942125,12.4390795454545,9.06890340909091,6.49695454545455,6.63286363636364,11.1120909090909,8.87247727272727,4.47922727272727,52.3426136363636,99.2167159090909,1.14688306267532,20.4147727272727,13.315,16.845,24,0.77478579119577,15,14,1005.7,2.6,1.08333333333333,2.2
236,2012,NA,NA,2012-08-23,4.46901136363636,15.2131136363636,9.72688068181818,10.7441022727273,4.57614772727273,14.3046818181818,9.44041477272727,9.72853409090909,38.3819431818182,97.3611818181818,1.20084287274267,9.89393939393939,14.139,11.678,23.3333333333333,0.718991511777374,12,16,1000.9,0,1.85416666666667,2.6
237,2012,NA,NA,2012-08-24,4.82978409090909,16.772875,10.9999545454545,11.9430909090909,5.48554545454545,16.3656931818182,10.9256193181818,10.8801477272727,83.6285681818182,95.2566590909091,1.26004202340677,6.64393939393939,10.49,13.389,21,0.42317640745196,11,7,996.2,0,1.70416666666667,3.8
238,2012,NA,NA,2012-08-25,7.18754545454545,11.0832727272727,9.051,3.89572727272727,8.47814772727273,9.54154545454545,9.00984659090909,1.06339772727273,91.9273409090909,99.2832045454546,1.2663481885542,12.8352272727273,8.284,12.847,20.8333333333333,0.673436437665839,15,10,996.8,41.2,3.4875,6.4
239,2012,NA,NA,2012-08-26,7.88280681818182,11.1547045454545,9.59952272727273,3.27189772727273,8.55197727272727,10.0463522727273,9.29916477272727,1.494375,55.4850795454545,99.5894090909091,1.46307247128674,21.9810606060606,8.197,14.463,24,1.05926218217958,15,14,1007.1,7.6,2.17083333333333,4.2
240,2012,NA,NA,2012-08-27,8.61375,17.0626818181818,12.8415852272727,8.44893181818182,9.82840909090909,15.9555,12.8919545454545,6.12709090909091,39.9595,99.008625,1.47856187964085,18.5284090909091,10.89,9.5,24,1.1066436312373,8,8,1005.4,0,1.52083333333333,2.8
241,2012,NA,NA,2012-08-28,8.46676136363636,19.8242727272727,14.1615340909091,11.3575113636364,11.9322045454545,17.3770568181818,14.6546306818182,5.44485227272727,67.0576363636364,96.1432159090909,1.21746679808884,5.79545454545455,13.183,16.899,24,0.726967388547216,12,8,996.9,0,1.44166666666667,2.8
242,2012,NA,NA,2012-08-29,8.65278409090909,14.0043409090909,11.3317556818182,5.35155681818182,9.37685227272727,12.8291818181818,11.1030170454545,3.45232954545455,61.9308522727273,98.0265113636364,1.25709720962641,11.8636363636364,8.916,16.141,24,0.674114675759514,15,11,999.3,0,1.72083333333333,3.5
243,2012,NA,NA,2012-08-30,8.545,16.4231931818182,12.3658522727273,7.87819318181818,9.00784090909091,15.7737613636364,12.3908011363636,6.76592045454545,81.1830568181818,94.3395340909091,1.28729436436502,6.93371212121212,7.931,11.634,24,0.589786729819,8,12,997.5,0,1.58333333333333,2.4
244,2012,NA,NA,2012-08-31,8.43623863636364,11.7757840909091,10.0859261363636,3.33954545454545,9.41711363636364,10.3334886363636,9.87530113636364,0.916375,60.4588409090909,98.7694659090909,1.13568531974439,14.0227272727273,6.659,19.465,24,1.13355022133526,4,4,992.6,38.2,3.34583333333333,4.6
245,2012,NA,NA,2012-09-01,5.14407954545455,14.3481363636364,9.64671590909091,9.20405681818182,5.64840909090909,12.6927840909091,9.17059659090909,7.044375,54.9842613636364,98.2279545454546,1.10497944485547,12.9829545454545,14.588,18.764,24,0.925531734960974,10,10,1006.8,5.8,2.34166666666667,3.2
246,2012,NA,NA,2012-09-02,4.44895454545455,15.0852159090909,9.72419886363636,10.6362613636364,5.19507954545455,13.6613977272727,9.42823863636364,8.46631818181818,58.3760795454545,89.6375681818182,1.07752921850907,4.42992424242424,16.263,18.298,23.5,0.719691792296728,7,7,1007.7,0,2.15,2.8
247,2012,NA,NA,2012-09-03,6.853625,12.608125,9.86940340909091,5.7545,7.70544318181818,11.5915340909091,9.64848863636364,3.88609090909091,45.0199772727273,98.2018863636364,1.14807481738393,11.2765151515152,11.831,18.976,24,1.26875772493462,11,10,1009,0.4,1.97916666666667,3.1
248,2012,NA,NA,2012-09-04,5.42003409090909,18.0786477272727,11.8700397727273,12.6586136363636,6.86571590909091,17.5444545454545,12.2050852272727,10.6787386363636,49.9868863636364,94.5988295454545,1.31318638042439,6.86174242424242,12.715,17.75,22.3333333333333,0.68484504337786,11,7,1003.4,0,2.1125,3.3
249,2012,NA,NA,2012-09-05,6.99114772727273,18.0905795454545,12.4882784090909,11.0994318181818,7.88618181818182,17.2473636363636,12.5667727272727,9.36118181818182,42.5503863636364,89.3056818181818,1.38493220496893,2.33522727272727,9.992,11.976,24,0.90075399220746,15,14,1005.4,0,1.8125,2.6
250,2012,NA,NA,2012-09-06,9.18103409090909,22.3241136363636,15.6749772727273,13.1430795454545,10.2214431818182,21.5890681818182,15.9052556818182,11.367625,41.3603636363636,95.9644090909091,1.43606983533731,9.34469696969697,9.886,14.554,17.8333333333333,0.958023864221906,15,15,1007.6,0,2.025,2.9
251,2012,NA,NA,2012-09-07,11.5672159090909,20.880375,16.0744090909091,9.31315909090909,13.4304772727273,18.6590795454545,16.0447784090909,5.22860227272727,59.29725,83.7637727272727,1.43545724873613,1.07007575757576,12.826,15.352,20.1666666666667,0.57522758078502,16,15,1001.4,0,1.72083333333333,2.5
252,2012,NA,NA,2012-09-08,7.69352272727273,18.3983295454545,13.2865738636364,10.7048068181818,8.45267045454545,17.7994318181818,13.1260511363636,9.34676136363636,83.1673295454545,97.4513636363636,1.31955121834372,10.1060606060606,13.893,19.71,20.3333333333333,0.61872387718301,12,16,999.3,0,1.35833333333333,2.3
253,2012,NA,NA,2012-09-09,8.33710227272727,12.5343068181818,10.3539034090909,4.19720454545455,9.62638636363636,10.8767159090909,10.2515511363636,1.25032954545455,72.8315568181818,99.134875,1.35978549114722,16.9223484848485,11.408,22.02,24,0.7212636171032,12,12,996.7,16.6,2.60833333333333,4.3
254,2012,NA,NA,2012-09-10,8.680375,15.6661818181818,11.9813920454545,6.98580681818182,8.53831818181818,13.4209659090909,10.9796420454545,4.88264772727273,44.8868409090909,97.9687045454545,1.51313497408284,16.8598484848485,15.379,27.744,24,2.16448201886918,12,10,1003.4,12,2.225,3.5
255,2012,NA,NA,2012-09-11,7.27768181818182,20.2298522727273,13.5824261363636,12.9521704545455,7.39728409090909,18.535875,12.9665795454545,11.1385909090909,42.322,96.7740795454545,1.50807785740381,14.0018939393939,17.681,16.67,24,0.79728131348458,12,12,1002.3,0,1.5875,2.2
256,2012,NA,NA,2012-09-12,9.73668181818182,21.414625,15.8804261363636,11.6779431818182,14.0776590909091,16.4058636363636,15.2417613636364,2.32820454545455,79.7427272727273,95.649875,1.47259160578083,5.82765151515152,14.875,19.169,19.6666666666667,0.73943324153375,7,8,996.8,0,2.1625,4.9
257,2012,NA,NA,2012-09-13,9.51039772727273,13.2393522727273,11.4828181818182,3.72895454545455,10.3882386363636,11.8865113636364,11.137375,1.49827272727273,54.6378977272727,99.5535340909091,1.40801920349365,20.7897727272727,7.044,13.062,20.5,1.06111560196574,7,6,1005.8,7.6,1.44583333333333,2.5
258,2012,NA,NA,2012-09-14,7.982375,18.2591022727273,13.1032670454545,10.2767272727273,8.37481818181818,17.5162954545455,12.9455568181818,9.14147727272727,34.2609204545455,97.4478522727273,1.32332992268157,11.8522727272727,8.092,9.639,24,1.25364695468848,7,6,1007.8,0,2.175,2.5
259,2012,NA,NA,2012-09-15,10.1115227272727,25.3844659090909,17.8218977272727,15.2729431818182,12.7232045454545,25.4517840909091,19.0874943181818,12.7285795454545,24.7663977272727,90.4140340909091,1.36863281186506,3.47348484848485,13.824,22.861,24,0.829736132354459,8,7,1003.7,0,1.95,3.1
260,2012,NA,NA,2012-09-16,13.5907727272727,30.0842386363636,21.8658068181818,16.4934659090909,18.5802613636364,30.6845795454545,24.6324204545455,12.1043181818182,60.5205340909091,60.7239090909091,1.47141980413408,1.23295454545455,16.863,27.217,24,1.12548665766003,7,8,996.5,0,1.875,3.3
261,2012,NA,NA,2012-09-17,9.28039772727273,18.3770227272727,13.8023693181818,9.096625,10.0437272727273,17.0964318181818,13.5700795454545,7.05270454545455,76.3648181818182,97.9453295454545,1.35410783044978,9.09280303030303,8.107,17.737,23.5,0.66449793998027,7,7,997.4,0,0.991666666666667,3
262,2012,NA,NA,2012-09-18,8.99404545454546,14.1434431818182,11.581375,5.14939772727273,9.70918181818182,12.97025,11.3397159090909,3.26106818181818,58.2084886363636,99.2722613636364,1.33337786005339,14.4393939393939,6.37,12.136,22.5,0.9078867702706,7,7,999.4,3.2,2.375,4
263,2012,NA,NA,2012-09-19,8.61609090909091,17.1883863636364,12.7997613636364,8.57229545454545,9.03070454545455,16.2569545454545,12.6438295454545,7.22625,56.3176477272727,94.4959772727273,1.32903636440072,9.54166666666667,7.085,15.52,24,0.70064073657158,7,3,1000.8,0.4,2.14166666666667,5.2
264,2012,NA,NA,2012-09-20,6.97306818181818,15.9215795454545,11.2751534090909,8.94851136363636,9.60434090909091,12.5493409090909,11.0768409090909,2.945,81.1495340909091,98.4889772727273,1.33731796653417,10.8863636363636,12.494,16.062,24,0.665233029321722,11,7,993.4,0,3.125,5.3
265,2012,NA,NA,2012-09-21,7.48671590909091,12.3107727272727,10.1112102272727,4.82405681818182,7.96123863636364,9.34065909090909,8.65094886363636,1.37942045454545,72.0578409090909,99.7496136363636,1.2574654673108,19.1969696969697,8.019,16.813,24,0.663127487512353,12,11,996.1,34.6,2.25,4.9
266,2012,NA,NA,2012-09-22,5.87580681818182,14.1181022727273,10.0058579545455,8.24229545454545,6.60835227272727,12.4992954545455,9.55382386363636,5.89094318181818,86.0120681818182,98.2957045454545,1.37811236409879,14.3011363636364,11.723,14.562,23.1666666666667,0.52943151157841,11,11,1002.8,2,1.90416666666667,3.2
267,2012,NA,NA,2012-09-23,7.37171590909091,12.2749431818182,9.85607954545454,4.90322727272727,9.14852272727273,10.8720909090909,10.0103068181818,1.72356818181818,57.8023977272727,99.4217954545455,1.56587624134225,13.5795454545455,6.943,9.075,24,0.83087357688325,7,7,1000.6,30.6,3.275,4.5
268,2012,NA,NA,2012-09-24,9.63765909090909,17.0808522727273,13.4125795454545,7.44319318181818,9.96051136363636,15.3488863636364,12.6546988636364,5.388375,40.3894772727273,99.8163181818182,1.67471015896142,20.7518939393939,7.443,14.101,11.5,2.84332869428997,7,7,1003.8,1.8,1.44166666666667,2.5
269,2012,NA,NA,2012-09-25,8.03744318181818,23.6778977272727,15.7208522727273,15.6404545454545,9.85814772727273,23.003375,16.4307613636364,13.1452272727273,76.4400113636364,98.9031363636364,1.50206339763661,11.7518939393939,10.312,15.055,24,0.57195582720708,10,11,997.9,0,1.425,2.4
270,2012,NA,NA,2012-09-26,10.1693863636364,15.8730681818182,12.8995,5.70368181818182,10.7535909090909,13.0934772727273,11.9235340909091,2.33988636363636,78.8848636363636,98.7550227272727,1.40514055279536,14.4962121212121,11.205,11.989,22.3333333333333,0.76264630914614,11,12,993.5,26.4,1.49583333333333,3.7
271,2012,NA,NA,2012-09-27,8.17346590909091,14.6670568181818,11.4872443181818,6.49359090909091,9.4355,12.9777727272727,11.2066363636364,3.54227272727273,69.6991477272727,99.8570113636364,1.31797078535519,19.7007575757576,6.452,15.681,14.1666666666667,1.20420155712572,15,11,995.6,13.2,2.5,4.2
272,2012,NA,NA,2012-09-28,6.89925,14.6181136363636,10.9133352272727,7.71886363636364,7.3175,13.2411590909091,10.2793295454545,5.92365909090909,72.13225,99.5928977272727,1.19237836381825,19.1193181818182,10.209,13.921,24,0.696616039357653,15,14,1003.2,6.4,2.05833333333333,3.1
273,2012,NA,NA,2012-09-29,7.06568181818182,13.2079090909091,10.0935284090909,6.14222727272727,8.58989772727273,10.6840227272727,9.63696022727273,2.094125,67.7960227272727,94.9641704545455,1.45543901818023,8.8219696969697,8.882,14.249,24,0.9458773774546,11,15,1004.4,0.8,1.99166666666667,3.3
274,2012,NA,NA,2012-09-30,8.54771590909091,18.2514886363636,13.4320909090909,9.70377272727273,9.08371590909091,17.8016477272727,13.4426818181818,8.71793181818182,58.8712159090909,97.2350227272727,1.59888498837994,12.6931818181818,8.471,12.858,24,1.77655099729864,11,11,1002.6,0,1.85,5.1
275,2012,NA,NA,2012-10-01,9.59693181818182,19.8087045454545,14.6767329545455,10.2117727272727,11.272125,19.4609886363636,15.3665568181818,8.18886363636364,57.8107159090909,99.1865340909091,1.50085733276121,14.4488636363636,7.836,19.053,24,1.39437253707564,12,15,999.6,0,1.80416666666667,3.6
276,2012,NA,NA,2012-10-02,8.02215909090909,18.7874090909091,13.4629715909091,10.76525,8.59007954545454,18.2426590909091,13.4163693181818,9.65257954545454,81.825375,98.4095681818182,1.4046092576047,12.1401515151515,12.03,17.357,19.6666666666667,0.58557372589759,16,16,999.1,0,2.375,4.1
277,2012,NA,NA,2012-10-03,9.23296590909091,13.5886931818182,11.3405852272727,4.35572727272727,10.9805795454545,12.5024545454545,11.7415170454545,1.521875,79.204875,98.4165568181818,1.39214953366139,12.6818181818182,7.856,12.271,23.3333333333333,0.640249124904646,16,15,998,11.2,2.475,4.2
