"siteID","domain","elevation","slope","aspect","d2at","d2fb","d2cs","rad080","rad172","rad355","thl0","thl315","thl337","plow050","plow125","plow250","plow500","tpi050","tpi125","tpi250","tpi500"
"CHK5",2,441.558715820312,0.680032587696913,6.22695422567099,2117.02587890625,10500.3603515625,2117.02587890625,7426.87158203125,4518.47509765625,8758.5947265625,1.09317552534887,1.01658764243318,1.0757751500621,0.690140845070423,0.622252747252747,0.53219837157661,0.464045375889252,-3.43903669526293,-8.28745661386392,-28.2940732401935,-81.5802478608057
"CHK6",2,451.843414306641,0.599354015319627,4.35659726751033,2215.54418945312,10587.484375,2215.54418945312,5187.66845703125,2192.79052734375,8124.48876953125,0.735201672950047,0.943163690988984,0.842317140564141,0.732394366197183,0.68543956043956,0.633974833456699,0.565852720630648,0.389865923531488,0.908431039509935,-2.82186517330871,-29.1385257105317
"CBR0",2,573.678955078125,0.528946274947564,5.6751215012526,2738.58349609375,10571.1748046875,2738.58349609375,7226.18359375,4230.7431640625,9031.6103515625,1.06130494156015,1.10108785955174,1.09972791587304,0.774647887323944,0.754120879120879,0.716136195410807,0.716689098250336,3.07930861847331,11.3644809839916,14.0526209505555,16.3182316722883
"CBR1",2,644.109069824219,0.603094070332178,4.21312080372232,2439.0126953125,10231.638671875,2439.0126953125,6435.9365234375,3233.63500976562,8986.775390625,0.69725337366452,0.905307845999232,0.801440359765786,0.725352112676056,0.684065934065934,0.679126572908956,0.631993847337051,2.31482937969736,4.36287110373473,15.0043087735845,15.9297862088757
"CBR2",2,666.095642089844,0.364319426494463,5.75117429654757,2712.73461914062,10182.6796875,2712.73461914062,6839.02001953125,3493.64331054688,9446.8173828125,1.07347248167167,1.09172536798351,1.09574707274527,0.697183098591549,0.60989010989011,0.554034048852702,0.659007883099404,-1.1832414458072,-3.59777994292415,-12.2452696351869,19.5944025071014
"CBR3",2,790.723388671875,0.0425887760968659,0.0255149202363205,2348.09399414062,9671.5361328125,2348.09399414062,6776.228515625,3332.83520507812,9594.32421875,1.0236943462758,1.01731546394482,1.02185894365017,0.753521126760563,0.743131868131868,0.747224278312361,0.741780426840992,0.0456079410598704,0.269476705289549,1.04945601755105,27.0765266773141
"CBR4",2,848.006896972656,0.559274579530536,1.40337598054564,2154.267578125,9470.248046875,2154.267578125,6650.3515625,3489.83227539062,9029.55859375,0.890820343342354,0.700034680128814,0.788905959083257,0.725352112676056,0.68543956043956,0.678016284233901,0.750624879830802,1.2906293265429,2.17682908259064,8.65772126194554,42.1002202940805
"PSK5",2,619.242919921875,0.100320831622712,1.03363112534234,1464.41162109375,9312.107421875,1464.41162109375,6130.07177734375,2140.14306640625,9576.1220703125,1.01872792032694,0.982165807676115,1.00055873824337,0.73943661971831,0.531593406593407,0.465210954848261,0.545375889252067,0.136348676077887,-4.6032050821193,-19.507980650455,-18.0669092905479
"PSK6",2,658.223388671875,0.540316960103527,3.32213322517513,1418.20227050781,9487.06640625,1418.20227050781,5246.74658203125,1758.0400390625,9126.6982421875,0.612657647497776,0.715579893298011,0.649443526442729,0.711267605633803,0.706043956043956,0.730569948186529,0.682945587387041,-1.91014929662788,1.14818636966379,13.8375901849749,16.8925702575212
"MP1",2,238.570541381836,0.630166653240461,0.598467416527602,9865.265625,730.033020019531,730.033020019531,7572.4296875,4809.8798828125,8633.43359375,1.04942384774466,0.86754181499759,0.968245096865142,0.711267605633803,0.64010989010989,0.608068097705403,0.55585464333782,-2.49454469318633,-8.30943654066232,-12.4260930932255,-14.7057802129625
