"siteID","domain","elevation","slope","d2at","d2fb","d2cs","rad080","rad172","rad355","thl0","thl315","thl337","plow050","plow125","plow250","plow500","tpi050","tpi125","tpi250","tpi500"
"CHK4",2,370,0.580589533974513,1144.28833007812,10859.5458984375,1144.28833007812,7697.93701171875,5210.2861328125,8399.587890625,1.0731759972881,1.09066618149553,1.10216028465082,0.833333333333333,0.741666666666667,-9.71659919028338,0.677824267782427,5.6843418860808e-14,-3.19672131147559,-9.71659919028338,-4.89246231155801
"CHK5",2,427,0.457231844150414,2117.02587890625,10500.3603515625,2117.02587890625,7343.77197265625,4374.26171875,8865.2109375,1.07485001942164,1.09717444224733,1.10230326077851,0.833333333333333,0.691666666666667,-31.9433198380564,0.49023709902371,-0.4444444444444,-5.40983606557387,-31.9433198380564,-88.2753768844226
"CHK6",2,461,0.76102537121411,2215.54418945312,10587.484375,2215.54418945312,5191.7119140625,2206.93530273438,8089.03271484375,0.664889241016277,0.916836615974017,0.797254350843808,0.833333333333333,0.758333333333333,8.6437246963564,0.630404463040446,1.88888888888891,8.50819672131138,8.6437246963564,-15.1628140703516
"CBR0",2,569,0.437915206728892,2738.58349609375,10571.1748046875,2738.58349609375,7171.416015625,4149.9287109375,9049.453125,1.01176769122765,1.09915311465964,1.06935507461273,0.833333333333333,0.775,5.16599190283375,0.731520223152022,0.444444444444571,2.95081967213116,5.16599190283375,13.7055276381916
"CBR1",2,633,0.514991666149184,2439.0126953125,10231.638671875,2439.0126953125,6444.677734375,3234.48852539062,9006.552734375,0.867613549175195,1.03547949789086,0.96037245535699,0.791666666666667,0.741666666666667,8.85020242914993,0.636680613668061,0.333333333333371,1.98360655737702,8.85020242914993,9.26331658291485
"CBR2",2,678,0.22994614401125,2712.73461914062,10182.6796875,2712.73461914062,6808.4794921875,3448.37060546875,9463.998046875,1.0189944979009,1.071433698245,1.05234573190229,0.833333333333333,0.708333333333333,-1.76923076923083,0.720362622036262,-0.555555555555543,-3.42622950819691,-1.76923076923083,34.2934673366833
"CBR3",2,794,0.0549663338638766,2348.09399414062,9671.5361328125,2348.09399414062,6758.384765625,3306.53198242188,9591.4560546875,1.00725515723803,0.98728166743816,0.996698903263546,0.875,0.791666666666667,9.0202429149798,0.785913528591353,1.00000000000011,2.08196721311469,9.0202429149798,41.8211055276389
"CBR4",2,836,0.528465717006755,2154.267578125,9470.248046875,2154.267578125,6616.81005859375,3461.35791015625,8995.5302734375,0.902153359741167,0.720867170272042,0.805304347453838,0.833333333333333,0.741666666666667,4.52226720647741,0.755230125523013,-1.33333333333337,-2.96721311475426,4.52226720647741,49.8221105527631
"PSK5",2,614,0.104198108274963,1464.41162109375,9312.107421875,1464.41162109375,6121.197265625,2127.32470703125,9578.9130859375,0.946828802017959,0.947218659936297,0.9432141606169,0.791666666666667,0.641666666666667,-20.0445344129558,0.565550906555091,-0.666666666666742,-5.7704918032789,-20.0445344129558,-28.0683417085423
"PSK6",2,648,0.379224782012174,1418.20227050781,9487.06640625,1418.20227050781,5209.890625,1750.75537109375,9087.3916015625,0.780829964665475,0.900439605412329,0.835446196305071,0.833333333333333,0.791666666666667,0.765182186234824,0.677126917712692,0.111111111111086,1.0491803278685,0.765182186234824,-1.19899497487461
"MP1",2,246,0.510882161178505,9865.265625,730.033020019531,730.033020019531,7532.61865234375,4650.125,8802.291015625,1.07791494970459,0.939753554680294,1.01878620769586,0.833333333333333,0.741666666666667,-14.1174089068827,0.607391910739191,-4.2222222222222,-8.19672131147539,-14.1174089068827,-9.17989949748738
"MP2",2,384,0.338355323000941,9259.416015625,1323.63317871094,1323.63317871094,6595.95458984375,3083.34741210938,9264.2607421875,0.961199217058695,0.841684278161945,0.897428362313103,0.833333333333333,0.758333333333333,1.05668016194352,0.488145048814505,1.22222222222223,4.19672131147524,1.05668016194352,-11.8683417085423
"MP3",2,435,0.616640096184436,9517.0859375,1090.72192382812,1090.72192382812,3048.16357421875,565.101318359375,8084.01318359375,0.544691948475758,0.65013698513062,0.580181086955722,0.833333333333333,0.8,46.9149797570849,0.871687587168759,3.44444444444451,17.4426229508196,46.9149797570849,104.826130653266
"MP4",2,398,0.15362800802212,8640.5087890625,1944.30993652344,1944.30993652344,6000.74755859375,2437.4287109375,9500.5908203125,0.910190488615315,0.938198303440298,0.919641437637628,0.833333333333333,0.716666666666667,-2.2267206477735,0.463040446304045,-0.555555555555543,-1.67213114754099,-2.2267206477735,-9.68542713567803
"SME01",2,358,0.349237265214294,6872.5361328125,3580.89721679688,3580.89721679688,4924.38232421875,1417.26940917969,9109.662109375,0.778144910462132,0.867989871610872,0.815277256404915,0.833333333333333,0.758333333333333,8.22267206477721,0.703626220362622,0.111111111111143,1.42622950819663,8.22267206477721,14.0291457286435
